Depthm,T_degC,Salnty,O2ml_L,STheta,ChlorA,PO4uM,SiO3uM,NO3uM
20,11.89,33.7105,5.047,25.60982,1.448,1.18,14.24,12.4
11,17.54,33.69,5.76,24.382,,,,
2,18.26,33.231,5.36,23.855,,0.5,2.0,
153,10.21,,2.77,,,2.24,28.0,23.2
217,8.76,34.24,,26.565,,,,
30,14.21,33.376,5.93,24.89,0.17,0.38,2.9,0.0
10,13.91,33.66,,,,,,
40,15.55,33.068,,24.365,,,,
100,12.38,33.087,5.77,25.035,,,,
700,4.03,34.157,1.08,27.118,,3.05,,
125,8.62,33.77,,26.217,,,,
60,12.97,33.268,4.99,25.059,0.32,0.85,7.3,6.9
56,12.06,,,,,,,
20,14.92,33.273,5.87,24.659,0.29,0.32,1.9,0.0
337,7.19,34.057,2.26,26.654,,2.35,49.5,32.1
290,7.04,34.137,1.36,26.737,,,,
503,7.92,34.55,0.08,26.94,,,,
162,8.9,33.91,2.98,26.283,,,,
150,8.25,33.87,,26.352,,,,
61,11.52,33.597,4.46,25.591,0.15,1.15,13.6,13.2
75,9.87,33.757,2.89,26.005,0.03,1.87,25.8,24.5
176,9.05,33.768,3.53,26.149,0.0,1.73,26.6,23.2
189,11.32,34.62,0.43,26.426,,,,
20,13.63,32.776,6.12,24.546,0.19,0.7,3.5,0.1
62,12.48,33.396,5.04,25.254,0.37,0.76,6.0,6.6
52,14.88,33.504,5.85,24.847,0.43,0.32,2.6,0.1
74,15.52,33.62,5.94,24.797,,0.4,,
0,19.116,33.6093,5.503,23.9303,0.236,0.33,1.41,0.0
549,4.88,34.17,0.77,27.036,,,,
600,4.96,34.202,0.53,27.053,,,,
276,9.23,34.31,1.21,26.546,,2.86,,
10,15.24,32.99,,24.372,,,,
154,15.59,34.208,5.42,25.237,,0.41,3.0,
64,9.58,33.82,,26.102,,,,
600,4.83,34.275,0.69,27.125,,3.28,,
200,10.61,34.246,1.4,26.262,,2.38,32.1,26.9
500,6.15,,0.64,,,,,
30,17.72,35.275,4.35,25.554,,,,
43,11.16,33.648,4.16,25.695,0.19,1.32,15.9,15.5
75,18.06,34.526,,24.899,,,,
125,12.79,34.41,,25.982,,,,
200,9.45,34.323,1.15,26.519,,,,
400,8.08,34.381,,26.782,,,,
444,6.066,34.096,0.948,26.83995,,2.85,68.51,38.4
125,11.36,33.49,4.74,25.538,,,,
20,16.66,33.175,5.66,24.195,0.11,0.29,3.1,0.0
135,8.95,33.94,2.81,26.299,,,,
800,4.39,,,,,,,
0,19.96,33.448,,23.59,,,,
800,4.69,34.49,,27.313,,,,
20,13.87,33.389,4.82,24.97,1.61,0.7,7.7,3.9
0,,33.28,5.99,,,,,
50,12.13,33.337,4.49,25.275,0.47,1.11,10.6,10.8
175,8.02,33.96,2.6,26.457,,,,
6,14.97,33.011,5.88,24.446,1.56,0.43,0.4,1.4
300,8.15,34.1,,26.55,,,,
21,16.41,33.5,5.91,24.502,0.56,0.35,1.2,0.4
0,24.46,34.24,4.58,22.931,,,,
75,8.82,32.878,5.95,25.486,,,,
9,14.13,33.54,,25.033,,,,
10,16.18,33.618,6.11,24.645,0.09,0.32,1.7,0.4
300,7.38,34.194,1.18,26.735,,2.71,55.0,34.4
